Pagado,Fecha de Pago,Metodo de pago,Enviado/Entregado,%,# sin pagarse,Mes,Folio de Factura,Timestamp,Folio de factura / remision,Comentarios,Nombre Tienda,(A1-CC-01) Power Bites sabor Coffee & Chocolate,(A1-MC-01)Power Bites sabor Melted Cacao,(A2-PB-01) Barra: Peanut Butter Bomb,(A2-CF-01) Barra: Chocolate Fudge,(A2-CC-01) Barra: Coffee & chocolate,(A2-CB-01) Barra: Coconut Blueberry,(A2-MC-01) Barra: Manzana y Canela,(4-PACK) MINI SUMMIT BAR SABOR COCONUT BLUEBERRY,(4-PACK) MINI SUMMIT BAR SABOR MANZANA CANELA ,(4-PACK) MINI SUMMIT BAR SABOR PEANUT BUTTER ,Subtotal (antes de impuestos),Monto total de la vanta ,Pz vendidas,Fecha de Creacion de Pedido,Fecha de vencimiento,Tipo de Cliente,Días Crédito,,Días de crédito limpios,Fecha base MDY,,,,,,,
TRUE,12/01/2026,Transferencia,TRUE,,4,1,,1/7/2026 11:59:00,MB1437,WIX 10384 Nicolas Marais| credit/debit,www.mountainbites.mx,0,0,0,0,0,0,0,4,4,4.00,$391.86,$423.21,12,,01/22/2026,Ecomerce,15,,15.00,1/7/2026,,,,,,,
TRUE,12/01/2026,Transferencia,TRUE,,4,1,,1/7/2026 12:07:00,MB1438,WIX 10385 - Francisco Marcano | Credit/Debit Cards,www.mountainbites.mx,0,0,3,3,3,3,0,0,0,0.00,$360.00,$388.80,12,,01/22/2026,Ecomerce,15,,15.00,1/7/2026,,,,,,,
TRUE,09/01/2026,Transferencia,TRUE,,4,1,,1/7/2026 12:14:00,MB1439,WIX 10386 - Laura Angelica Montalvo Jorge | PayPal,www.mountainbites.mx,0,0,10,10,10,10,10,0,0,0.00,"$1,203.70","$1,300.00",50,,01/22/2026,Ecomerce,15,,15.00,1/7/2026,,,,,,,
TRUE,01/30/2026,Transferencia,TRUE,,5,1,,1/7/2026 12:43:00,MB1440,Sur,SUPER MODE,0,7,0,8,0,8,0,0,0,0.00,$592.25,$639.63,23,,02/21/2026,Supermercados,45,,45.00,1/7/2026,,,,,,,
TRUE,07/01/2026,Transferencia,TRUE,,1,1,,1/7/2026 13:09:00,MB1441,,Boulder Base,0,4,30,20,10,10,10,0,0,0.00,"$2,289.84","$2,647.03",84,,01/07/2026,Minorista,0,,0.00,1/7/2026,,,,,,,
TRUE,06/01/2026,Transferencia,TRUE,,0,1,,1/7/2026 14:24:00,MB1442,,ICN,0,0,50,100,300,0,300,0,0,0.00,"$14,063.76","$15,188.86",750,,01/07/2026,Minorista,0,,0.00,1/7/2026,,,,,,,
TRUE,01/23/2026,Transferencia,TRUE,,0,1,,1/8/2026 9:44:00,MB1443,,Vertimania Plaza Fiesta,0,0,10,10,10,0,10,20,20,20.00,"$2,096.60","$2,264.33",100,,02/07/2026,Minorista,30,,30.00,1/8/2026,,,,,,,
TRUE,03/02/2026,Transferencia,TRUE,,0,1,,1/8/2026 9:57:00,MB1444,,Pico Norte San Pedro,5,0,20,10,10,20,10,12,12,12.00,"$2,666.85","$2,880.20",111,,02/07/2026,Minorista,30,,30.00,1/8/2026,,,,,,,
TRUE,01/13/2026,Transferencia,TRUE,,4,1,,1/8/2026 11:44:00,MB1445,WIX 10387 Oscar Nevarez,www.mountainbites.mx,0,0,10,10,10,10,0,0,0,0.00,"$1,133.33","$1,224.00",40,,01/23/2026,Ecomerce,15,,15.00,1/8/2026,,,,,,,
TRUE,01/13/2026,Transferencia,TRUE,,0,1,,1/8/2026 11:45:00,MB1446,,Inercia Climbing,0,0,10,0,0,10,10,0,0,0.00,$807.45,"$1,046.05",30,,02/07/2026,Minorista,30,,30.00,1/8/2026,,,,,,,
TRUE,01/23/2026,Transferencia,TRUE,,0,1,,1/8/2026 12:00:00,MB1447,,MOMO Coffee,30,30,50,0,0,50,50,0,0,0.00,"$5,791.65","$6,428.98",210,,02/07/2026,Minorista,30,,30.00,1/8/2026,,,,,,,
TRUE,03/23/2026,Transferencia,TRUE,,3,1,,1/8/2026 17:28:00,MB1448,,Super mayoreo naturista,0,0,0,40,0,40,0,0,0,0.00,"$2,045.16","$2,208.77",80,,02/22/2026,Conveniencia,45,,45.00,1/8/2026,,,,,,,
TRUE,12/02/2026,Transferencia,TRUE,,2,1,,1/8/2026 17:29:00,MB1449,,Parvada Cowork,0,0,40,0,0,40,0,0,0,0.00,"$2,153.20","$2,325.46",80,,02/07/2026,Minorista,30,,30.00,1/8/2026,,,,,,,
TRUE,02/13/2026,Transferencia,TRUE,,1,1,,1/9/2026 10:14:00,MB1450,,Yaaxtal,15,15,50,50,50,50,0,24,24,24.00,"$6,099.46","$6,587.42",302,,02/08/2026,Minorista,30,,30.00,1/9/2026,,,,,,,
TRUE,01/14/2026,Transferencia,TRUE,,4,1,,1/12/2026 14:31:00,MB1451,WIX 10388 - Victor Hugo Ferrer | PayPal,www.mountainbites.mx,0,0,3,3,3,3,3,0,0,0.00,$552.78,$667.00,15,,01/27/2026,Ecomerce,15,,15.00,1/12/2026,,,,,,,
TRUE,01/15/2026,Transferencia,TRUE,,0,1,,1/12/2026 14:33:00,MB1452,,Tatehuari Experience,0,0,0,0,30,0,30,0,0,0.00,"$1,614.90","$1,918.09",60,,02/11/2026,Minorista,30,,30.00,1/12/2026,,,,,,,
TRUE,03/23/2026,Transferencia,TRUE,,9,1,,1/13/2026 10:23:00,MB1453,,Promotora saludanat,0,0,160,0,80,120,0,0,0,0.00,"$9,203.22","$9,939.48",360,,02/27/2026,Conveniencia,45,,45.00,1/13/2026,,,,,,,
TRUE,01/16/2026,Transferencia,TRUE,,4,1,,1/13/2026 12:27:00,MB1454,WIX 10389 - Marco Andrés Martinez Delgado | Tarjetas de crédito/débito,www.mountainbites.mx,0,0,10,10,10,10,10,0,0,0.00,"$1,458.33","$1,575.00",50,,01/28/2026,Ecomerce,15,,15.00,1/13/2026,,,,,,,
TRUE,01/22/2026,Transferencia,TRUE,,0,1,,1/13/2026 12:32:00,MB1455,ADAMANTA ESCANDON,Adamanta Escandon,15,25,40,30,20,40,30,0,0,0.00,"$5,672.80","$6,300.62",200,,02/12/2026,Minorista,30,,30.00,1/13/2026,,,,,,,
TRUE,02/26/2026,Transferencia,TRUE,,1,1,,1/13/2026 12:35:00,MB1456,,Healthy Boutique,0,0,30,20,0,20,0,0,0,0.00,"$1,884.05","$2,208.77",70,,02/12/2026,Minorista,30,,30.00,1/13/2026,,,,,,,
TRUE,02/24/2026,Transferencia,TRUE,,1,1,,1/13/2026 12:37:00,MB1457,"Skala Gimnasio de Escalada. Tuxtla Gutierrez, Chiapas",Skala Gimnasio ,0,0,10,10,10,10,0,0,0,0.00,"$1,076.60","$1,336.73",40,,02/12/2026,Minorista,30,,30.00,1/13/2026,,,,,,,
FALSE,,,TRUE,,43,1,,1/13/2026 12:38:00,MB1510,,La Comer,0,0,20,20,10,10,10,0,0,0.00,"$1,884.05","$2,034.77",70,,03/14/2026,Supermercados,60,,60.00,1/13/2026,,,,,,,
FALSE,,,TRUE,,13,1,,1/13/2026 14:24:00,MB1458,,Mas natural mas sano,0,0,30,20,20,20,10,0,0,0.00,"$2,113.33","$2,282.40",100,,02/27/2026,Distribuidores,45,,45.00,1/13/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/14/2026 18:05:00,MB1459,ML 2000011039025457 Maxence Duthoo,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/14/2026,Ecomerce,0,,0.00,1/14/2026,,,,4,$0.00,$0.00,$0.00
TRUE,01/15/2026,Transferencia,TRUE,,0,1,,1/15/2026 13:30:00,MB1460,VENTA DE INSUMOS EN MINOREO.,Advanced Secure,0,0,0,0,0,0,0,0,0,0.00,$0.00,$0.00,0,,04/15/2026,Minorista,90,,90.00,1/15/2026,,,,,,,
TRUE,01/19/2026,Transferencia,TRUE,,1,1,,1/15/2026 17:21:00,MB1461,,Padel Point,0,0,10,10,10,10,0,0,0,0.00,"$1,076.60","$1,243.93",40,,02/14/2026,Minorista,30,,30.00,1/15/2026,,,,,,,
TRUE,01/19/2026,Transferencia,TRUE,,1,1,,1/15/2026 17:26:00,MB1462,WIX 10391- MARCO ANTONIO MEJIA MORALES | Tarjetas de crédito/débito,Boulder Corp,0,0,10,10,10,10,10,0,0,0.00,"$1,458.33","$1,575.00",50,,02/14/2026,Minorista,30,,30.00,1/15/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/15/2026 17:28:00,MB1511,ML 2000011044014283 - Elizabeth Gonzalez,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/15/2026,Ecomerce,0,,0.00,1/15/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/15/2026 17:28:00,MB1512,ML 2000011057463973 - Jose Eduardo Diaz Mijares,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$281.51,$304.03,12,,01/15/2026,Ecomerce,0,,0.00,1/15/2026,,,,6,$0.00,$0.00,$0.00
FALSE,,,TRUE,,114,1,,1/15/2026 17:29:00,MB1513,ML 2000011057999563 - Arely Armijo,Mercado Libre,0,0,0,0,0,0,0,8,8,8.00,$509.44,$550.20,24,,01/15/2026,Ecomerce,0,,0.00,1/15/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/15/2026 17:33:00,MB1514,ML 2000011039206787 - Arturo Mendez,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/15/2026,Ecomerce,0,,0.00,1/15/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/16/2026 15:50:00,MB1515,ML 2000011060659171 - Jaime Zurita,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/16/2026,Ecomerce,0,,0.00,1/16/2026,,,,,,,
